path,value
ScienceKeywords[86].Term,GEOMORPHIC LANDFORMS/PROCESSES
ScienceKeywords[86].VariableLevel1,TECTONIC LANDFORMS
ScienceKeywords[86].VariableLevel2,MAAR
ScienceKeywords[87].Category,EARTH SCIENCE
ScienceKeywords[87].Topic,SOLID EARTH
ScienceKeywords[87].Term,GEOMORPHIC LANDFORMS/PROCESSES
ScienceKeywords[87].VariableLevel1,TECTONIC LANDFORMS
ScienceKeywords[87].VariableLevel2,MOUNTAINS
ScienceKeywords[88].Category,EARTH SCIENCE
ScienceKeywords[88].Topic,SOLID EARTH
ScienceKeywords[88].Term,GEOMORPHIC LANDFORMS/PROCESSES
ScienceKeywords[88].VariableLevel1,TECTONIC LANDFORMS
ScienceKeywords[88].VariableLevel2,PLATEAU
ScienceKeywords[89].Category,EARTH SCIENCE
ScienceKeywords[89].Topic,SOLID EARTH
ScienceKeywords[89].Term,GEOMORPHIC LANDFORMS/PROCESSES
ScienceKeywords[89].VariableLevel1,TECTONIC LANDFORMS
ScienceKeywords[89].VariableLevel2,RIDGE
ScienceKeywords[90].Category,EARTH SCIENCE
ScienceKeywords[90].Topic,SOLID EARTH
ScienceKeywords[90].Term,GEOMORPHIC LANDFORMS/PROCESSES
ScienceKeywords[90].VariableLevel1,TECTONIC LANDFORMS
ScienceKeywords[90].VariableLevel2,RIFT VALLEY
ScienceKeywords[91].Category,EARTH SCIENCE
ScienceKeywords[91].Topic,SOLID EARTH
ScienceKeywords[91].Term,GEOMORPHIC LANDFORMS/PROCESSES
ScienceKeywords[91].VariableLevel1,TECTONIC LANDFORMS
ScienceKeywords[91].VariableLevel2,TUYA
ScienceKeywords[92].Category,EARTH SCIENCE
ScienceKeywords[92].Topic,SOLID EARTH
ScienceKeywords[92].Term,GEOMORPHIC LANDFORMS/PROCESSES
ScienceKeywords[92].VariableLevel1,TECTONIC LANDFORMS
ScienceKeywords[92].VariableLevel2,VOLCANO
ScienceKeywords[93].Category,EARTH SCIENCE
ScienceKeywords[93].Topic,SOLID EARTH
ScienceKeywords[93].Term,GEOMORPHIC LANDFORMS/PROCESSES
ScienceKeywords[93].VariableLevel1,TECTONIC LANDFORMS
ScienceKeywords[94].Category,EARTH SCIENCE
ScienceKeywords[94].Topic,SOLID EARTH
ScienceKeywords[94].Term,TECTONICS
ScienceKeywords[94].VariableLevel1,EARTHQUAKES
ScienceKeywords[95].Category,EARTH SCIENCE
ScienceKeywords[95].Topic,SOLID EARTH
ScienceKeywords[95].Term,TECTONICS
ScienceKeywords[95].VariableLevel1,EARTHQUAKES
ScienceKeywords[96].Category,EARTH SCIENCE
ScienceKeywords[96].Topic,SOLID EARTH
ScienceKeywords[96].Term,TECTONICS
ScienceKeywords[96].VariableLevel1,PLATE TECTONICS
ScienceKeywords[97].Category,EARTH SCIENCE
ScienceKeywords[97].Topic,SOLID EARTH
ScienceKeywords[97].Term,TECTONICS
ScienceKeywords[97].VariableLevel1,PLATE TECTONICS
ScienceKeywords[98].Category,EARTH SCIENCE
ScienceKeywords[98].Topic,SOLID EARTH
ScienceKeywords[98].Term,TECTONICS
ScienceKeywords[98].VariableLevel1,VOLCANIC ACTIVITY
ScienceKeywords[99].Category,EARTH SCIENCE
ScienceKeywords[99].Topic,SOLID EARTH
ScienceKeywords[99].Term,TECTONICS
ScienceKeywords[99].VariableLevel1,VOLCANIC ACTIVITY
ScienceKeywords[100].Category,EARTH SCIENCE
ScienceKeywords[100].Topic,TERRESTRIAL HYDROSPHERE
ScienceKeywords[100].Term,GLACIERS/ICE SHEETS
ScienceKeywords[100].VariableLevel1,GLACIER ELEVATION/ICE SHEET ELEVATION
ScienceKeywords[101].Category,EARTH SCIENCE
ScienceKeywords[101].Topic,TERRESTRIAL HYDROSPHERE
ScienceKeywords[101].Term,GLACIERS/ICE SHEETS
ScienceKeywords[101].VariableLevel1,GLACIER MOTION/ICE SHEET MOTION
ScienceKeywords[102].Category,EARTH SCIENCE
ScienceKeywords[102].Topic,TERRESTRIAL HYDROSPHERE
ScienceKeywords[102].Term,GLACIERS/ICE SHEETS
ScienceKeywords[102].VariableLevel1,GLACIER TOPOGRAPHY/ICE SHEET TOPOGRAPHY
ScienceKeywords[103].Category,EARTH SCIENCE
ScienceKeywords[103].Topic,TERRESTRIAL HYDROSPHERE
ScienceKeywords[103].Term,GLACIERS/ICE SHEETS
ScienceKeywords[103].VariableLevel1,GLACIERS
ScienceKeywords[104].Category,EARTH SCIENCE
ScienceKeywords[104].Topic,TERRESTRIAL HYDROSPHERE
ScienceKeywords[104].Term,GLACIERS/ICE SHEETS
ScienceKeywords[104].VariableLevel1,ICE SHEETS
ScienceKeywords[105].Category,EARTH SCIENCE
ScienceKeywords[105].Topic,TERRESTRIAL HYDROSPHERE
ScienceKeywords[105].Term,GLACIERS/ICE SHEETS
ScienceKeywords[105].VariableLevel1,ICEBERGS
ScienceKeywords[106].Category,EARTH SCIENCE
ScienceKeywords[106].Topic,TERRESTRIAL HYDROSPHERE
ScienceKeywords[106].Term,SNOW/ICE
ScienceKeywords[106].VariableLevel1,ICE EXTENT
ScienceKeywords[107].Category,EARTH SCIENCE
ScienceKeywords[107].Topic,TERRESTRIAL HYDROSPHERE
ScienceKeywords[107].Term,SNOW/ICE
ScienceKeywords[107].VariableLevel1,ICE GROWTH/MELT
ScienceKeywords[108].Category,EARTH SCIENCE
ScienceKeywords[108].Topic,TERRESTRIAL HYDROSPHERE
ScienceKeywords[108].Term,SNOW/ICE
ScienceKeywords[108].VariableLevel1,ICE MOTION
ScienceKeywords[109].Category,EARTH SCIENCE
ScienceKeywords[109].Topic,TERRESTRIAL HYDROSPHERE
ScienceKeywords[109].Term,SNOW/ICE
ScienceKeywords[109].VariableLevel1,ICE VELOCITY
ScienceKeywords[110].Category,EARTH SCIENCE
ScienceKeywords[110].Topic,TERRESTRIAL HYDROSPHERE
ScienceKeywords[110].Term,SNOW/ICE
ScienceKeywords[110].VariableLevel1,LAKE ICE
ScienceKeywords[111].Category,EARTH SCIENCE
ScienceKeywords[111].Topic,TERRESTRIAL HYDROSPHERE
ScienceKeywords[111].Term,SNOW/ICE
ScienceKeywords[111].VariableLevel1,PERMAFROST
ScienceKeywords[112].Category,EARTH SCIENCE
ScienceKeywords[112].Topic,TERRESTRIAL HYDROSPHERE
ScienceKeywords[112].Term,SNOW/ICE
ScienceKeywords[112].VariableLevel1,RIVER ICE
TemporalExtents[0].RangeDateTimes[0].BeginningDateTime,2006-03-23T16:10:55.000Z
TemporalExtents[0].RangeDateTimes[0].EndingDateTime,2011-04-22T20:23:36.000Z
TemporalExtents[0].PrecisionOfSeconds,1
TemporalExtents[0].EndsAtPresentFlag,false
ProcessingLevel.Id,0
ProcessingLevel.ProcessingLevelDescription,Data expanded from original packed L0 data. Bit realignment and other editing performed. Multi-polarized data aligned in time series for respective polarization. Single-polarization SCANSAR data aligned in time series for respective scanning.
DOI.DOI,10.5067/J4JVCFDDPEW1
DOI.Authority,https://doi.org/
ShortName,ALOS_PSR_L1.0
EntryTitle,ALOS PALSAR Level 1.0 Product
RelatedUrls[0].Description,Search and download data granules using the ASF Data Search graphical search interface Vertex.
RelatedUrls[0].URLContentType,DistributionURL
RelatedUrls[0].Type,GET DATA
RelatedUrls[0].URL,https://search.asf.alaska.edu/
RelatedUrls[0].Subtype,VERTEX
RelatedUrls[1].URLContentType,DistributionURL
RelatedUrls[1].Description,Search and download data granules using NASA Earthdata Search interface.
RelatedUrls[1].Type,GET DATA
RelatedUrls[1].Subtype,Earthdata Search
RelatedUrls[1].URL,https://search.earthdata.nasa.gov/search/granules?p=C1206485320-ASF
RelatedUrls[2].URL,https://www.eorc.jaxa.jp/ALOS/en/doc/fdata/PALSAR_L10_J_ENa.zip
RelatedUrls[2].URLContentType,PublicationURL
RelatedUrls[2].Type,VIEW RELATED INFORMATION
RelatedUrls[2].Subtype,DATA PRODUCT SPECIFICATION
RelatedUrls[2].Description,Product format specification for the ALOS PALSAR Level 1.0 product
RelatedUrls[3].URL,https://www.eorc.jaxa.jp/ALOS/en/alos/a1_calval_e.htm
RelatedUrls[3].URLContentType,PublicationURL
RelatedUrls[3].Type,VIEW RELATED INFORMATION
RelatedUrls[3].Subtype,INSTRUMENT/SENSOR CALIBRATION DOCUMENTATION
RelatedUrls[3].Description,ALOS calibration information
DataDates[0].Type,CREATE
DataDates[0].Date,2010-03-01T21:23:55.000Z
DataDates[1].Type,UPDATE
DataDates[1].Date,2018-03-20T20:24:18.000Z
Abstract,ALOS PALSAR Level 1.0
MetadataDates[0].Type,CREATE
MetadataDates[0].Date,2023-04-12T21:06:00.000Z
MetadataDates[1].Type,UPDATE
MetadataDates[1].Date,2026-02-07T21:00:00.000Z
Version,1
UseConstraints.EULAIdentifiers[0],1b454cfb-c298-4072-ae3c-3c133ce810c8
UseConstraints.LicenseText,"ALOS/PALSAR/AVNIR-2 and ALOS-2 ScanSAR data products usage conditions

(i) JAXA does not guarantee any specific quality and the timely provision of the ALOS/PALSAR/AVNIR-2 and ALOS-2 ScanSAR data products and shall not be liable for any damage caused by using them.

(ii) The intellectual property rights, including but not limited to copyrights, of the ALOS/PALSAR/AVNIR-2 and ALOS-2 ScanSAR data Products belong to JAXA.

(iii) The user shall retain the ownership of value-added products (modified products with high-level processing which are irreversible to standard data. High-level data processing includes data analysis or combining multiple- ALOS/PALSAR/AVNIR-2 and ALOS-2 ScanSAR data Product, image processing based on external information, and physical quantity conversion).

(iv) When the user publish and/or redistribute their-generated value-added products based on the  ALOS/PALSAR/AVNIR-2 and ALOS-2 ScanSAR data Product, users will indicate, “the original ALOS/PALSAR/AVNIR-2 and ALOS-2 ScanSAR data products are provided by JAXA”.

(v) When the user intends to publish the results directly using or indirectly based on the ALOS/PALSAR/AVNIR-2 and ALOS-2 ScanSAR data products, the user will indicate owner of the Data Products as “©JAXA [year of acquisition]. All rights reserved”."
UseConstraints.FreeAndOpenData,true
DataCenters[0].Roles[0],ORIGINATOR
DataCenters[0].ContactInformation.RelatedUrls[0].Description,"Home Page for the Earth Observation Research Center, Japan Aerospace Exploration Agency, Japan"
DataCenters[0].ContactInformation.RelatedUrls[0].URL,http://www.eorc.jaxa.jp/en/index.html
DataCenters[0].ContactInformation.RelatedUrls[0].URLContentType,DataCenterURL
DataCenters[0].ContactInformation.RelatedUrls[0].Type,HOME PAGE
DataCenters[0].ShortName,JP/JAXA/EORC
DataCenters[0].LongName,"Earth Observation Research Center, Japan Aerospace Exploration Agency, Japan"
DataCenters[1].Roles[0],ARCHIVER
DataCenters[1].Roles[1],DISTRIBUTOR
DataCenters[1].Roles[2],PROCESSOR
DataCenters[1].ContactInformation.RelatedUrls[0].Description,Home Page for the Alaska Satellite Facility
DataCenters[1].ContactInformation.RelatedUrls[0].URLContentType,DataCenterURL
DataCenters[1].ContactInformation.RelatedUrls[0].Type,HOME PAGE
DataCenters[1].ContactInformation.RelatedUrls[0].URL,https://www.asf.alaska.edu/
DataCenters[1].ContactInformation.ContactMechanisms[0].Type,Email
DataCenters[1].ContactInformation.ContactMechanisms[0].Value,uso@asf.alaska.edu
DataCenters[1].ShortName,ASF
DataCenters[1].LongName,Alaska Satellite Facility
Platforms[0].Type,Earth Observation Satellites
Platforms[0].ShortName,ALOS
Platforms[0].LongName,Advanced Land Observing Satellite
Platforms[0].Instruments[0].ShortName,PALSAR
Platforms[0].Instruments[0].LongName,Phased Array type L-band Synthetic Aperture Radar
Platforms[0].Instruments[0].ComposedOf[0].ShortName,DSN
Platforms[0].Instruments[0].ComposedOf[1].ShortName,FBD
Platforms[0].Instruments[0].ComposedOf[2].ShortName,WB2
Platforms[0].Instruments[0].ComposedOf[3].ShortName,PLR
Platforms[0].Instruments[0].ComposedOf[4].ShortName,WB1
Platforms[0].Instruments[0].ComposedOf[5].ShortName,FBS
Platforms[0].Instruments[0].OperationalModes[0],Arctic
Platforms[0].Instruments[0].OperationalModes[1],Antarctic
MetadataSpecification.URL,https://cdn.earthdata.nasa.gov/umm/collection/v1.18.5
MetadataSpecification.Name,UMM-C
MetadataSpecification.Version,1.18.5
